Tickers,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
AAPL,0.00039807757847630174,0.0001291627384535304,0.0002667520630373878,0.00021671926636707432,0.00026745731035346816,0.00014810123339841695,0.0002697742752931184,0.00018953169309727128,0.0001548321361886193,0.00019049688731326875,0.0001837681928909106,0.00019716197506729427,0.0002057830602195913,0.00016652805080298098,0.0001356232989451116,0.000271106838910802,9.381899792885205e-05,0.00017214458055968949,0.00011681909232752961,0.00014005567179781208,0.0001368897388092752,8.840859578407154e-05,0.0002859967382611893,0.0002206202074992162,0.00011340762093321792,0.00012675985902938213,0.00016114048242788016,0.00020907282207039988,7.570177952549328e-05,0.00010365362241945772
AMGN,0.0001291627384535304,0.00025889373239087625,9.495232580159213e-05,0.00012164992839663725,0.00010485514985890244,0.00011353099126847055,0.00010800380340904067,0.00012459551408435662,0.00010686259343147491,9.363901198940861e-05,0.00013052954129699691,0.00011856848798779006,0.00012489973347302972,0.00011011828982986359,0.00010909116017894218,0.00015049332891775493,0.00011021036049236288,0.00011376797114840254,9.08612842055071e-05,9.099945156107174e-05,0.00010910893679174268,0.00010969948010610108,0.0001276098067403509,9.147565837993758e-05,0.0001020986511183876,0.00010496017626385727,0.00013711667713843441,0.00011257793749769196,7.709896966248426e-05,8.203038477407606e-05
AMZN,0.0002667520630373878,9.495232580159213e-05,0.0004978067708017116,0.00016949177358353853,0.00020516339801299188,0.00011192738310053589,0.0003153088031711746,0.00015228049301764475,8.365112866529524e-05,0.00019805318254672511,0.00013945332136398904,0.0001624181945247698,0.0001783855093000067,0.00011063744693620135,9.685928394208473e-05,0.00026144694619189353,5.3417448716848766e-05,0.00012095603548427318,6.793646528606228e-05,9.066532730527373e-05,9.703053642779456e-05,5.0249817283841636e-05,0.00028907133422915196,0.0002039258652603708,7.147640556828695e-05,7.120664780718495e-05,9.624750757233727e-05,0.00016336303662763813,5.262812502215113e-05,9.316217332243427e-05
AXP,0.00021671926636707432,0.00012164992839663725,0.00016949177358353853,0.0005667878480579141,0.00048687597356841567,0.0002917365000051228,0.00023259229097142396,0.00020705459871768464,0.000331352079204055,0.00031603460074670225,0.00033972699541965403,0.00035921481607823044,0.0002274708551777987,0.00028510744447347055,0.00021695334032687094,0.0002681698523525934,0.00010693136373137789,0.00037248887469934293,0.00016837832648191004,0.00019346605825984353,0.00021397465471959174,0.00010045738993857473,0.00021308860010265767,0.0002518364208654238,0.00010628607064369966,0.0002653031336702917,0.00020992418282011512,0.0002910583966921023,0.00010335688870256547,7.462382044252263e-05
BA,0.00026745731035346816,0.00010485514985890244,0.00020516339801299188,0.00048687597356841567,0.001032557292457156,0.00031745930334804083,0.00027414021660042334,0.00021557929918076984,0.0003861853305908615,0.0003513871360193054,0.0003927832367156379,0.00038478161987664557,0.0002690069757219038,0.00033802642103285816,0.00024364877951369405,0.000345425015025319,0.00011037829944299943,0.00038331869260705337,0.00019165942859661922,0.00022892362847725262,0.00021537462558068952,0.00010050956974503398,0.0002345065413346531,0.0003025339282285358,0.00010489524713623493,0.0002896102073190549,0.00022242263373421748,0.00027919052759441777,0.00010486000587594431,7.42313862138025e-05
CAT,0.00014810123339841695,0.00011353099126847055,0.00011192738310053589,0.0002917365000051228,0.00031745930334804083,0.000414433913395984,0.00015081991202325364,0.00016499817102898285,0.0002729794366408122,0.00021212761279545674,0.000333494574092474,0.00026639173537327393,0.000166906493785064,0.00021874683458660875,0.00018472784725209512,0.00020532816316081454,8.813430498346002e-05,0.00026001132319523315,0.0001153923514806831,0.00011707266060594963,0.0002043988439819916,8.612637294411246e-05,0.00013711280517540408,0.0001826483726829276,7.597801352940437e-05,0.00018066363660790673,0.0001335950416326527,0.00017615085259539077,8.827730881566138e-05,6.576208398253067e-05
CRM,0.0002697742752931184,0.00010800380340904067,0.0003153088031711746,0.00023259229097142396,0.00027414021660042334,0.00015081991202325364,0.0006173809339794919,0.00018467222977265035,0.00015613044987847745,0.00021816944335518236,0.00019207892495177626,0.00020467589079366615,0.00021133635188752117,0.00015353515315947653,0.0001345052339147299,0.0002774821732089451,7.277668012658361e-05,0.0001764021504758016,0.00010231139362628816,0.00014478936979348057,0.00012902067333696483,8.421053352890122e-05,0.00030869589478644123,0.0002161020334516597,8.812422402583349e-05,0.0001245228382354039,0.00013881908397342493,0.00022337635324360715,6.437920216354334e-05,8.91623488511424e-05
CSCO,0.00018953169309727128,0.00012459551408435662,0.00015228049301764475,0.00020705459871768464,0.00021557929918076984,0.00016499817102898285,0.00018467222977265035,0.0003054093344281032,0.00016391552357653612,0.00017817928706215146,0.0001901295339655895,0.00018129044897095026,0.00016958660235445424,0.00016521394846454713,0.00016160307063269112,0.00022425164764184122,0.00010470669377366276,0.00017607967301939813,0.00011556999674527088,0.0001307422334306224,0.00015118182851221696,8.971586319800308e-05,0.0001850652605500973,0.0001691483486063672,0.00011195348207452344,0.0001308720181835007,0.00014267491781824949,0.00016750872271144274,8.740598212344521e-05,9.875912450633286e-05
CVX,0.0001548321361886193,0.00010686259343147491,8.365112866529524e-05,0.000331352079204055,0.0003861853305908615,0.0002729794366408122,0.00015613044987847745,0.00016391552357653612,0.0005088813156356657,0.0002241747956837139,0.0003120059253957976,0.000282443991742396,0.00017856629602307585,0.00023010088825852563,0.0001865275818881954,0.0002084931568035309,0.00010174782739561879,0.0002932166664246013,0.0001334609498578135,0.00015958630905777248,0.00016700267447656157,0.00011501174544168353,0.0001466541120646966,0.00017770527621758253,7.15132215891201e-05,0.0002398727591830309,0.00019343282193882841,0.00020198044215718265,9.373974956265697e-05,6.114547725345788e-05
DIS,0.00019049688731326875,9.363901198940861e-05,0.00019805318254672511,0.00031603460074670225,0.0003513871360193054,0.00021212761279545674,0.00021816944335518236,0.00017817928706215146,0.0002241747956837139,0.0004563334547516994,0.00024380226217097394,0.0002525991383872466,0.0001903404894797507,0.0002099922619062585,0.00015134938051217318,0.00023012095347922702,7.718178626453085e-05,0.00024234633299879146,0.00012574948508445847,0.00014524558448611663,0.00016645562851550579,6.345385208915273e-05,0.0001954862983741785,0.0002261072671759317,8.703334740274212e-05,0.00015530234739273192,0.00013173374456647478,0.00021759618480453796,8.63098374182814e-05,7.362087487751294e-05
DOW,0.0001837681928909106,0.00013052954129699691,0.00013945332136398904,0.00033972699541965403,0.0003927832367156379,0.000333494574092474,0.00019207892495177626,0.0001901295339655895,0.0003120059253957976,0.00024380226217097394,0.000530633187638367,0.00030620214656799395,0.00020548715086850385,0.00024461499795495824,0.00021699426572186883,0.0002520378869138223,9.781194071298554e-05,0.0003081218398162208,0.00014641836324725505,0.0001469606912079343,0.00022550432214893425,9.582588613490593e-05,0.00016903473766360664,0.00022269980978922616,9.854062073282559e-05,0.00023906889612975772,0.0001569332423560749,0.000213269186852816,0.00011439062848226055,8.92722295506414e-05
GS,0.00019716197506729427,0.00011856848798779006,0.0001624181945247698,0.00035921481607823044,0.00038478161987664557,0.00026639173537327393,0.00020467589079366615,0.00018129044897095026,0.000282443991742396,0.0002525991383872466,0.00030620214656799395,0.00041658520802444145,0.0002166983791623288,0.00023601623377909528,0.00018822047280583307,0.000247212807268609,9.912107712819668e-05,0.0003377446940193847,0.00013193540227406672,0.00015674178232821557,0.00019956216397982595,9.503954415389856e-05,0.00018786268316257126,0.00021644809994928214,9.627637896750257e-05,0.0002229666150008287,0.0001779175672124587,0.0002111208116638017,9.772063010064689e-05,7.602959440786658e-05
HD,0.0002057830602195913,0.00012489973347302972,0.0001783855093000067,0.0002274708551777987,0.0002690069757219038,0.000166906493785064,0.00021133635188752117,0.00016958660235445424,0.00017856629602307585,0.0001903404894797507,0.00020548715086850385,0.0002166983791623288,0.0003364059039298323,0.00017579705484137786,0.00015115423330250998,0.00022472890275960944,9.295722102568919e-05,0.00019538939591125476,0.00012047298634534106,0.00015718258097891815,0.0001649958035326754,8.837648109241181e-05,0.00020663342723383459,0.0002098786800596907,0.0001138282418474776,0.00016937692717376688,0.00016684641961973323,0.00018056696661729554,8.672167929181385e-05,0.00010381680169856087
HON,0.00016652805080298098,0.00011011828982986359,0.00011063744693620135,0.00028510744447347055,0.00033802642103285816,0.00021874683458660875,0.00015353515315947653,0.00016521394846454713,0.00023010088825852563,0.0002099922619062585,0.00024461499795495824,0.00023601623377909528,0.00017579705484137786,0.0002884534470550615,0.00015844971600364753,0.00020127405482366697,9.737816650665594e-05,0.00023865215187707635,0.000137499730356219,0.0001515986676856229,0.0001878733191982477,9.242882849497751e-05,0.00015904406125004882,0.00019330386164293745,9.789848157762004e-05,0.0001798529038205112,0.0001595720300513152,0.0001896039888529163,8.307576916395608e-05,6.350587846437454e-05
IBM,0.0001356232989451116,0.00010909116017894218,9.685928394208473e-05,0.00021695334032687094,0.00024364877951369405,0.00018472784725209512,0.0001345052339147299,0.00016160307063269112,0.0001865275818881954,0.00015134938051217318,0.00021699426572186883,0.00018822047280583307,0.00015115423330250998,0.00015844971600364753,0.00027961357906542127,0.00019334405673253807,9.930382934862467e-05,0.0001959927143911257,0.0001211433601499711,0.00011947578278724848,0.00015726232761701267,8.811087164106627e-05,0.00013474326399774963,0.00013695706146172582,0.00010062259124688961,0.00015137837825438726,0.00013083572115197444,0.00015368401820960856,9.255213442276019e-05,7.038952823174512e-05
INTC,0.000271106838910802,0.00015049332891775493,0.00026144694619189353,0.0002681698523525934,0.000345425015025319,0.00020532816316081454,0.0002774821732089451,0.00022425164764184122,0.0002084931568035309,0.00023012095347922702,0.0002520378869138223,0.000247212807268609,0.00022472890275960944,0.00020127405482366697,0.00019334405673253807,0.0007274699976423035,9.127619115558626e-05,0.0002272258270756603,0.00011248034541535309,0.00013594339274994815,0.0001714308883470405,7.888978935441753e-05,0.0002783455821626767,0.00020934781808881585,0.00011284118507171044,0.0001680065891525253,0.00015352240455183364,0.00020498940364779684,9.224249041994767e-05,0.00010755790847223798
JNJ,9.381899792885205e-05,0.00011021036049236288,5.3417448716848766e-05,0.00010693136373137789,0.00011037829944299943,8.813430498346002e-05,7.277668012658361e-05,0.00010470669377366276,0.00010174782739561879,7.718178626453085e-05,9.781194071298554e-05,9.912107712819668e-05,9.295722102568919e-05,9.737816650665594e-05,9.930382934862467e-05,9.127619115558626e-05,0.0001568177079899166,0.00010317104023131396,9.344939946456861e-05,8.286603937054528e-05,9.959385304661165e-05,9.815883726560506e-05,9.106369329480624e-05,8.347857954753423e-05,9.832188536264744e-05,8.979113623408146e-05,0.00012198484643075853,9.569583642583931e-05,6.940952415224067e-05,6.977282809275537e-05
JPM,0.00017214458055968949,0.00011376797114840254,0.00012095603548427318,0.00037248887469934293,0.00038331869260705337,0.00026001132319523315,0.0001764021504758016,0.00017607967301939813,0.0002932166664246013,0.00024234633299879146,0.0003081218398162208,0.0003377446940193847,0.00019538939591125476,0.00023865215187707635,0.0001959927143911257,0.0002272258270756603,0.00010317104023131396,0.00040295341107682807,0.00014415616961425016,0.00016089240706161796,0.00018826015581670705,0.00010527695668264857,0.00016604416004071805,0.0002025471701830709,9.963431197831775e-05,0.00024355171791188332,0.00017939104363761706,0.00021615666466617917,0.00010171293097659401,7.101195638427581e-05
KO,0.00011681909232752961,9.08612842055071e-05,6.793646528606228e-05,0.00016837832648191004,0.00019165942859661922,0.0001153923514806831,0.00010231139362628816,0.00011556999674527088,0.0001334609498578135,0.00012574948508445847,0.00014641836324725505,0.00013193540227406672,0.00012047298634534106,0.000137499730356219,0.0001211433601499711,0.00011248034541535309,9.344939946456861e-05,0.00014415616961425016,0.0001723375568354666,0.00011475182850421192,0.00011564692834646117,8.541981002868408e-05,0.00011099513102734294,0.00012220888493644574,0.00011410691609575734,0.00012752982030550685,0.00012401260066990355,0.00013104506198345316,8.386455670479295e-05,7.350076409402671e-05
MCD,0.00014005567179781208,9.099945156107174e-05,9.066532730527373e-05,0.00019346605825984353,0.00022892362847725262,0.00011707266060594963,0.00014478936979348057,0.0001307422334306224,0.00015958630905777248,0.00014524558448611663,0.0001469606912079343,0.00015674178232821557,0.00015718258097891815,0.0001515986676856229,0.00011947578278724848,0.00013594339274994815,8.286603937054528e-05,0.00016089240706161796,0.00011475182850421192,0.00021890290974238208,0.00011467010907560929,9.295115629244231e-05,0.00013887281312708374,0.00015639930756947232,9.542543102518798e-05,0.00015523441308841127,0.00013723733732416162,0.00015926541465971836,6.615817611586065e-05,6.543691122076248e-05
MMM,0.0001368897388092752,0.00010910893679174268,9.703053642779456e-05,0.00021397465471959174,0.00021537462558068952,0.0002043988439819916,0.00012902067333696483,0.00015118182851221696,0.00016700267447656157,0.00016645562851550579,0.00022550432214893425,0.00019956216397982595,0.0001649958035326754,0.0001878733191982477,0.00015726232761701267,0.0001714308883470405,9.959385304661165e-05,0.00018826015581670705,0.00011564692834646117,0.00011467010907560929,0.00034104409046889245,6.770308864650727e-05,0.00012526355604500366,0.000165854123714183,9.105400287552966e-05,0.00014152637559630793,0.00012138668934488171,0.00014556521181396774,7.982135809916055e-05,6.69482294762808e-05
MRK,8.840859578407154e-05,0.00010969948010610108,5.0249817283841636e-05,0.00010045738993857473,0.00010050956974503398,8.612637294411246e-05,8.421053352890122e-05,8.971586319800308e-05,0.00011501174544168353,6.345385208915273e-05,9.582588613490593e-05,9.503954415389856e-05,8.837648109241181e-05,9.242882849497751e-05,8.811087164106627e-05,7.888978935441753e-05,9.815883726560506e-05,0.00010527695668264857,8.541981002868408e-05,9.295115629244231e-05,6.770308864650727e-05,0.00021935367821063263,9.314421776850105e-05,8.635055190295675e-05,9.006597816507945e-05,0.00010674177354946278,0.00012408888307936049,0.0001010283268955412,7.309897292748783e-05,5.867299703578055e-05
MSFT,0.0002859967382611893,0.0001276098067403509,0.00028907133422915196,0.00021308860010265767,0.0002345065413346531,0.00013711280517540408,0.00030869589478644123,0.0001850652605500973,0.0001466541120646966,0.0001954862983741785,0.00016903473766360664,0.00018786268316257126,0.00020663342723383459,0.00015904406125004882,0.00013474326399774963,0.0002783455821626767,9.106369329480624e-05,0.00016604416004071805,0.00011099513102734294,0.00013887281312708374,0.00012526355604500366,9.314421776850105e-05,0.00036433821477581304,0.00020673946124128814,0.00011546322860427072,0.00012968051679481817,0.00016239736170972863,0.0002089145016172989,6.761388083913959e-05,0.00010194852922751505
NKE,0.0002206202074992162,9.147565837993758e-05,0.0002039258652603708,0.0002518364208654238,0.0003025339282285358,0.0001826483726829276,0.0002161020334516597,0.0001691483486063672,0.00017770527621758253,0.0002261072671759317,0.00022269980978922616,0.00021644809994928214,0.0002098786800596907,0.00019330386164293745,0.00013695706146172582,0.00020934781808881585,8.347857954753423e-05,0.0002025471701830709,0.00012220888493644574,0.00015639930756947232,0.000165854123714183,8.635055190295675e-05,0.00020673946124128814,0.0004778265699652551,0.00010653359044367027,0.00014719432001106343,0.00013895987768351554,0.00020942580250098877,7.850023000545678e-05,8.135084377139561e-05
PG,0.00011340762093321792,0.0001020986511183876,7.147640556828695e-05,0.00010628607064369966,0.00010489524713623493,7.597801352940437e-05,8.812422402583349e-05,0.00011195348207452344,7.15132215891201e-05,8.703334740274212e-05,9.854062073282559e-05,9.627637896750257e-05,0.0001138282418474776,9.789848157762004e-05,0.00010062259124688961,0.00011284118507171044,9.832188536264744e-05,9.963431197831775e-05,0.00011410691609575734,9.542543102518798e-05,9.105400287552966e-05,9.006597816507945e-05,0.00011546322860427072,0.00010653359044367027,0.0001743977843037024,9.315581563198911e-05,0.00011507823008664245,0.00010606472824733722,8.197274700173111e-05,9.396603036913122e-05
TRV,0.00012675985902938213,0.00010496017626385727,7.120664780718495e-05,0.0002653031336702917,0.0002896102073190549,0.00018066363660790673,0.0001245228382354039,0.0001308720181835007,0.0002398727591830309,0.00015530234739273192,0.00023906889612975772,0.0002229666150008287,0.00016937692717376688,0.0001798529038205112,0.00015137837825438726,0.0001680065891525253,8.979113623408146e-05,0.00024355171791188332,0.00012752982030550685,0.00015523441308841127,0.00014152637559630793,0.00010674177354946278,0.00012968051679481817,0.00014719432001106343,9.315581563198911e-05,0.00034624217831428583,0.00016103261183571374,0.0001699811281210873,9.073664260824959e-05,7.084242301698331e-05
UNH,0.00016114048242788016,0.00013711667713843441,9.624750757233727e-05,0.00020992418282011512,0.00022242263373421748,0.0001335950416326527,0.00013881908397342493,0.00014267491781824949,0.00019343282193882841,0.00013173374456647478,0.0001569332423560749,0.0001779175672124587,0.00016684641961973323,0.0001595720300513152,0.00013083572115197444,0.00015352240455183364,0.00012198484643075853,0.00017939104363761706,0.00012401260066990355,0.00013723733732416162,0.00012138668934488171,0.00012408888307936049,0.00016239736170972863,0.00013895987768351554,0.00011507823008664245,0.00016103261183571374,0.0003440956967638914,0.00016346900497310476,9.052199356553728e-05,8.283849328524059e-05
V,0.00020907282207039988,0.00011257793749769196,0.00016336303662763813,0.0002910583966921023,0.00027919052759441777,0.00017615085259539077,0.00022337635324360715,0.00016750872271144274,0.00020198044215718265,0.00021759618480453796,0.000213269186852816,0.0002111208116638017,0.00018056696661729554,0.0001896039888529163,0.00015368401820960856,0.00020498940364779684,9.569583642583931e-05,0.00021615666466617917,0.00013104506198345316,0.00015926541465971836,0.00014556521181396774,0.0001010283268955412,0.0002089145016172989,0.00020942580250098877,0.00010606472824733722,0.0001699811281210873,0.00016346900497310476,0.00030569217897852356,8.149854938731247e-05,7.215736065717793e-05
VZ,7.570177952549328e-05,7.709896966248426e-05,5.262812502215113e-05,0.00010335688870256547,0.00010486000587594431,8.827730881566138e-05,6.437920216354334e-05,8.740598212344521e-05,9.373974956265697e-05,8.63098374182814e-05,0.00011439062848226055,9.772063010064689e-05,8.672167929181385e-05,8.307576916395608e-05,9.255213442276019e-05,9.224249041994767e-05,6.940952415224067e-05,0.00010171293097659401,8.386455670479295e-05,6.615817611586065e-05,7.982135809916055e-05,7.309897292748783e-05,6.761388083913959e-05,7.850023000545678e-05,8.197274700173111e-05,9.073664260824959e-05,9.052199356553728e-05,8.149854938731247e-05,0.00017254904305920294,5.825488501546994e-05
WMT,0.00010365362241945772,8.203038477407606e-05,9.316217332243427e-05,7.462382044252263e-05,7.42313862138025e-05,6.576208398253067e-05,8.91623488511424e-05,9.875912450633286e-05,6.114547725345788e-05,7.362087487751294e-05,8.92722295506414e-05,7.602959440786658e-05,0.00010381680169856087,6.350587846437454e-05,7.038952823174512e-05,0.00010755790847223798,6.977282809275537e-05,7.101195638427581e-05,7.350076409402671e-05,6.543691122076248e-05,6.69482294762808e-05,5.867299703578055e-05,0.00010194852922751505,8.135084377139561e-05,9.396603036913122e-05,7.084242301698331e-05,8.283849328524059e-05,7.215736065717793e-05,5.825488501546994e-05,0.00019707752024587555
